Scenario,Dataset,Rep,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,reject,method
D1,Dataset 1,21,Z+P+NB,ZIP--ZINB,-44607.52353509667,-44531.51283064207,152.02140890920418,2,0,9.749233896410473e-34,True,chi²(df=2)
D1,Dataset 1,22,Poisson,ZIP--ZINB,-97338.9598319294,-44341.8784094528,105994.1628449532,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,22,NB,ZIP--ZINB,-46255.843275200954,-44341.8784094528,3827.929731496304,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,22,P+NB,ZIP--ZINB,-44932.55230624529,-44341.8784094528,1181.3477935849805,nan,2,7.784292783085966e-258,True,chi-bar² heuristic; k=2
D1,Dataset 1,22,ZIP,ZIP--ZINB,-70153.79753842557,-44341.8784094528,51623.838257945536,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,22,ZINB,ZIP--ZINB,-45530.98729840708,-44341.8784094528,2378.2177779085614,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,22,Z+P+NB,ZIP--ZINB,-44414.38992041825,-44341.8784094528,145.02302193090145,2,0,3.225900094442384e-32,True,chi²(df=2)
D1,Dataset 1,23,Poisson,ZIP--ZINB,-98608.5071180096,-44632.6650746995,107951.6840866202,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,23,NB,ZIP--ZINB,-46614.338687074356,-44632.6650746995,3963.347224749712,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,23,P+NB,ZIP--ZINB,-45283.26177159487,-44632.6650746995,1301.1933937907452,nan,2,7.348016837236211e-284,True,chi-bar² heuristic; k=2
D1,Dataset 1,23,ZIP,ZIP--ZINB,-71274.75759842106,-44632.6650746995,53284.18504744311,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,23,ZINB,ZIP--ZINB,-45878.45740176992,-44632.6650746995,2491.584654140839,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,23,Z+P+NB,ZIP--ZINB,-44725.99770425375,-44632.6650746995,186.66525910850032,2,0,2.925189481266067e-41,True,chi²(df=2)
D1,Dataset 1,26,Poisson,ZIP--ZINB,-99131.48155236112,-44456.58525958932,109349.79258554359,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,26,NB,ZIP--ZINB,-46526.556307041115,-44456.58525958932,4139.942094903585,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,26,P+NB,ZIP--ZINB,-45121.29448829526,-44456.58525958932,1329.41845741187,nan,2,5.457320857694789e-290,True,chi-bar² heuristic; k=2
D1,Dataset 1,26,ZIP,ZIP--ZINB,-71006.30902674294,-44456.58525958932,53099.447534307226,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,26,ZINB,ZIP--ZINB,-45711.120837034265,-44456.58525958932,2509.0711548898835,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,26,Z+P+NB,ZIP--ZINB,-44518.05540768658,-44456.58525958932,122.94029619451612,2,0,2.0130468368619164e-27,True,chi²(df=2)
D1,Dataset 1,28,Poisson,ZIP--ZINB,-96928.59951751462,-44262.278413948436,105332.64220713238,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,28,NB,ZIP--ZINB,-46176.59194871142,-44262.278413948436,3828.6270695259736,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,28,P+NB,ZIP--ZINB,-44888.71202788931,-44262.278413948436,1252.867227881754,nan,2,2.29305390557594e-273,True,chi-bar² heuristic; k=2
D1,Dataset 1,28,ZIP,ZIP--ZINB,-69530.28764309947,-44262.278413948436,50536.01845830206,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,28,ZINB,ZIP--ZINB,-45428.941092316156,-44262.278413948436,2333.3253567354404,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,28,Z+P+NB,ZIP--ZINB,-44332.22823608932,-44262.278413948436,139.89964428177336,2,0,4.180018790781116e-31,True,chi²(df=2)
D1,Dataset 1,27,Poisson,ZIP--ZINB,-98975.79136028329,-44581.86989812867,108787.84292430923,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,27,NB,ZIP--ZINB,-46510.279936318155,-44581.86989812867,3856.8200763789646,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,27,P+NB,ZIP--ZINB,-45161.6487031687,-44581.86989812867,1159.5576100800536,nan,2,4.198335154433523e-253,True,chi-bar² heuristic; k=2
D1,Dataset 1,27,ZIP,ZIP--ZINB,-71528.30252029732,-44581.86989812867,53892.8652443373,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,27,ZINB,ZIP--ZINB,-45815.139180278304,-44581.86989812867,2466.5385642992624,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,27,Z+P+NB,ZIP--ZINB,-44643.739755115625,-44581.86989812867,123.73971397390414,2,0,1.3497785256087016e-27,True,chi²(df=2)
