Scenario,DatasetLabel,Rep,Dataset,Model,Link,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message,fit_elapsed_sec
D3,Dataset 3,9,D3,NB,identity,-33150.68746764872,66307.37493529744,66331.08539795504,20000,3,True,10,3391.1730588028017,not_computed,nan,0,Optimization terminated successfully,7.193578243255615
D3,Dataset 3,9,D3,ZIP,identity,-43597.85575063797,87203.71150127595,87235.32545148609,20000,4,True,13,2.3651184364426037e-05,not_computed,nan,0,Optimization terminated successfully,8.916395664215088
D3,Dataset 3,9,D3,ZINB,identity,-29676.00351545491,59362.00703090982,59401.524468672505,20000,5,True,14,0.00031856467437507696,not_computed,nan,0,Optimization terminated successfully,14.023253679275513
D3,Dataset 3,9,D3,P+NB,identity,-32488.706081901168,64989.412163802335,65036.83308911755,20000,6,True,44,1785.746771173152,not_computed,nan,0,Optimization terminated successfully,33.11594891548157
D3,Dataset 3,9,D3,Z+P+NB,identity,-29161.96384235186,58339.92768470372,58403.155585124005,20000,8,True,31,7.7867754767591e-05,not_computed,nan,0,Optimization terminated successfully,38.865647077560425
D3,Dataset 3,9,D3,ZIP--ZINB,identity,-29143.1792203137,58306.3584406274,58385.39331615276,20000,10,True,17,0.0002073460097365698,inverse,2.8729183588561624,10,Optimization terminated successfully,78.04432487487793
D3,Dataset 3,25,D3,Poisson,identity,-73625.43577936599,147254.87155873197,147270.67853383705,20000,2,True,11,0.0008286559828103446,not_computed,nan,0,Optimization terminated successfully,1.13527250289917
D3,Dataset 3,25,D3,NB,identity,-33354.552230374706,66715.10446074941,66738.81492340702,20000,3,True,24,0.001977121129155046,not_computed,nan,0,Optimization terminated successfully,5.275630712509155
D3,Dataset 3,25,D3,ZIP,identity,-42969.74282120647,85947.48564241294,85979.09959262308,20000,4,True,14,5.8459479505140743e-05,not_computed,nan,0,Optimization terminated successfully,7.273003339767456
D3,Dataset 3,25,D3,ZINB,identity,-29829.15634936635,59668.3126987327,59707.83013649538,20000,5,True,22,0.00016438480219522697,not_computed,nan,0,Optimization terminated successfully,10.610657453536987
D3,Dataset 3,25,D3,P+NB,identity,-32598.270074748893,65208.540149497785,65255.961074813,20000,6,True,49,1565.8192845429028,not_computed,nan,0,Optimization terminated successfully,24.57931423187256
D3,Dataset 3,25,D3,Z+P+NB,identity,-29272.697308115203,58561.394616230406,58624.62251665069,20000,8,True,22,0.00021905754935588884,not_computed,nan,0,Optimization terminated successfully,37.77166175842285
D3,Dataset 3,25,D3,ZIP--ZINB,identity,-29249.794214773894,58519.58842954779,58598.623305073146,20000,10,True,48,0.0003513933139517589,inverse,3.9473492576715037,10,Optimization terminated successfully,58.215532541275024
D3,Dataset 3,15,D3,Poisson,identity,-73427.77765670032,146859.55531340063,146875.3622885057,20000,2,True,11,13239.087802280255,not_computed,nan,0,Optimization terminated successfully,1.5444302558898926
D3,Dataset 3,15,D3,NB,identity,-33240.9276436567,66487.8552873134,66511.565749971,20000,3,True,16,2221.3500576062106,not_computed,nan,0,Optimization terminated successfully,6.126936197280884
D3,Dataset 3,15,D3,ZIP,identity,-42898.785842128615,85805.57168425723,85837.18563446737,20000,4,True,11,0.00016703278996216264,not_computed,nan,0,Optimization terminated successfully,7.888420343399048
