Scenario,Dataset,Rep,Coefficient,CoefficientLatex,true,estimate
D3,Dataset 3,24,gamma_z[0],$\gamma_{10}$,-2.5,-2.04817429725795
D3,Dataset 3,24,gamma_z[1],$\gamma_{11}$,2.0,1.8577071847814262
D3,Dataset 3,24,beta_nb[0],$\beta_{20}$,8.0,8.456045936792373
D3,Dataset 3,24,beta_nb[1],$\beta_{21}$,2.5,1.7260142851802442
D3,Dataset 3,24,gamma_nb[0],$\gamma_{20}$,-2.5,-2.891208320597075
D3,Dataset 3,24,gamma_nb[1],$\gamma_{21}$,2.5,2.6298395829872843
D3,Dataset 3,28,beta_z[0],$\beta_{10}$,6.6,6.39140263125039
D3,Dataset 3,28,beta_z[1],$\beta_{11}$,-2.1,-1.9902052472226985
D3,Dataset 3,28,gamma_z[0],$\gamma_{10}$,-2.5,-2.8089827091103263
D3,Dataset 3,28,gamma_z[1],$\gamma_{11}$,2.0,2.1072023330268648
D3,Dataset 3,28,beta_nb[0],$\beta_{20}$,8.0,8.194839013495903
D3,Dataset 3,28,beta_nb[1],$\beta_{21}$,2.5,2.257357290255272
D3,Dataset 3,28,gamma_nb[0],$\gamma_{20}$,-2.5,-2.234303426197653
D3,Dataset 3,28,gamma_nb[1],$\gamma_{21}$,2.5,2.390201436368541
D3,Dataset 3,23,beta_z[0],$\beta_{10}$,6.6,6.501937686549841
D3,Dataset 3,23,beta_z[1],$\beta_{11}$,-2.1,-1.9957056977330732
D3,Dataset 3,23,gamma_z[0],$\gamma_{10}$,-2.5,-2.5693748996237047
D3,Dataset 3,23,gamma_z[1],$\gamma_{11}$,2.0,2.0119735240421655
D3,Dataset 3,23,beta_nb[0],$\beta_{20}$,8.0,7.921223103819015
D3,Dataset 3,23,beta_nb[1],$\beta_{21}$,2.5,2.564203053834997
D3,Dataset 3,23,gamma_nb[0],$\gamma_{20}$,-2.5,-2.501477388269316
D3,Dataset 3,23,gamma_nb[1],$\gamma_{21}$,2.5,2.560164176266223
D3,Dataset 3,27,beta_z[0],$\beta_{10}$,6.6,6.609699415353218
D3,Dataset 3,27,beta_z[1],$\beta_{11}$,-2.1,-2.127429083691361
D3,Dataset 3,27,gamma_z[0],$\gamma_{10}$,-2.5,-2.0101542117605398
D3,Dataset 3,27,gamma_z[1],$\gamma_{11}$,2.0,1.8261991748340354
D3,Dataset 3,27,beta_nb[0],$\beta_{20}$,8.0,8.967880511066966
D3,Dataset 3,27,beta_nb[1],$\beta_{21}$,2.5,1.691345235213398
D3,Dataset 3,27,gamma_nb[0],$\gamma_{20}$,-2.5,-2.7026665347450414
D3,Dataset 3,27,gamma_nb[1],$\gamma_{21}$,2.5,2.49390555460614
D3,Dataset 3,30,beta_z[0],$\beta_{10}$,6.6,6.552577117382364
D3,Dataset 3,30,beta_z[1],$\beta_{11}$,-2.1,-1.9917228371539137
D3,Dataset 3,30,gamma_z[0],$\gamma_{10}$,-2.5,-2.538946433712727
D3,Dataset 3,30,gamma_z[1],$\gamma_{11}$,2.0,2.0551207351435643
D3,Dataset 3,30,beta_nb[0],$\beta_{20}$,8.0,7.641807628335417
D3,Dataset 3,30,beta_nb[1],$\beta_{21}$,2.5,3.051139146665849
D3,Dataset 3,30,gamma_nb[0],$\gamma_{20}$,-2.5,-2.5313738253798648
D3,Dataset 3,30,gamma_nb[1],$\gamma_{21}$,2.5,2.5012030530497804
D3,Dataset 3,31,beta_z[0],$\beta_{10}$,6.6,6.385054157694244
D3,Dataset 3,31,beta_z[1],$\beta_{11}$,-2.1,-1.9676338138257734
D3,Dataset 3,31,gamma_z[0],$\gamma_{10}$,-2.5,-2.053947641847222
D3,Dataset 3,31,gamma_z[1],$\gamma_{11}$,2.0,1.8189302283047473
D3,Dataset 3,31,beta_nb[0],$\beta_{20}$,8.0,8.10114462355999
D3,Dataset 3,31,beta_nb[1],$\beta_{21}$,2.5,2.68954269686945
D3,Dataset 3,31,gamma_nb[0],$\gamma_{20}$,-2.5,-2.7237814338908715
D3,Dataset 3,31,gamma_nb[1],$\gamma_{21}$,2.5,2.582005138903794
D3,Dataset 3,34,beta_z[0],$\beta_{10}$,6.6,6.697720930217617
D3,Dataset 3,34,beta_z[1],$\beta_{11}$,-2.1,-2.129811302524757
D3,Dataset 3,34,gamma_z[0],$\gamma_{10}$,-2.5,-1.9853712654873503
D3,Dataset 3,34,gamma_z[1],$\gamma_{11}$,2.0,1.927155429331713
D3,Dataset 3,34,beta_nb[0],$\beta_{20}$,8.0,8.564817651958549
D3,Dataset 3,34,beta_nb[1],$\beta_{21}$,2.5,1.7994538651004959
D3,Dataset 3,34,gamma_nb[0],$\gamma_{20}$,-2.5,-3.1101219384333176
D3,Dataset 3,34,gamma_nb[1],$\gamma_{21}$,2.5,2.6942663810030494
D3,Dataset 3,36,beta_z[0],$\beta_{10}$,6.6,6.572433713335566
D3,Dataset 3,36,beta_z[1],$\beta_{11}$,-2.1,-2.109468425000403
D3,Dataset 3,36,gamma_z[0],$\gamma_{10}$,-2.5,-2.3965516659246178
D3,Dataset 3,36,gamma_z[1],$\gamma_{11}$,2.0,1.9489384367725509
D3,Dataset 3,36,beta_nb[0],$\beta_{20}$,8.0,7.690251190734741
D3,Dataset 3,36,beta_nb[1],$\beta_{21}$,2.5,2.3879747635725552
D3,Dataset 3,36,gamma_nb[0],$\gamma_{20}$,-2.5,-2.4516916908446884
D3,Dataset 3,36,gamma_nb[1],$\gamma_{21}$,2.5,2.460463116921621
D3,Dataset 3,33,beta_z[0],$\beta_{10}$,6.6,6.71588734443558
D3,Dataset 3,33,beta_z[1],$\beta_{11}$,-2.1,-2.1390441184450832
D3,Dataset 3,33,gamma_z[0],$\gamma_{10}$,-2.5,-2.0599969256629604
D3,Dataset 3,33,gamma_z[1],$\gamma_{11}$,2.0,1.9149166839952951
D3,Dataset 3,33,beta_nb[0],$\beta_{20}$,8.0,8.136911686983806
D3,Dataset 3,33,beta_nb[1],$\beta_{21}$,2.5,1.9912273318687723
D3,Dataset 3,33,gamma_nb[0],$\gamma_{20}$,-2.5,-3.0115136644627296
D3,Dataset 3,33,gamma_nb[1],$\gamma_{21}$,2.5,2.657605980418525
