Scenario,Dataset,Rep,Parameter,Scale,true,estimate,se,lower95,upper95,covered,CovarianceStatus
D3,Dataset 3,66,gamma_z[1],optimizer,2.0,1.861220551897229,0.11473162294748938,1.6363465709201497,2.086094532874308,True,inverse
D3,Dataset 3,66,beta_nb[0],optimizer,8.0,7.540303749961207,0.29205115286344835,6.967883490348848,8.112724009573565,True,inverse
D3,Dataset 3,66,beta_nb[1],optimizer,2.5,2.2012141718811487,0.40158057416701354,1.4141162465138022,2.988312097248495,True,inverse
D3,Dataset 3,66,gamma_nb[0],optimizer,-2.5,-2.8130330771703154,0.22213120526970057,-3.2484102394989285,-2.3776559148417022,True,inverse
D3,Dataset 3,66,gamma_nb[1],optimizer,2.5,2.635083049074491,0.10575243935615093,2.427808267936435,2.842357830212547,True,inverse
D3,Dataset 3,66,log_alpha,optimizer,0.0,0.08416922448035555,0.04876531290267277,-0.011410788808883077,0.17974923776959417,True,inverse
D3,Dataset 3,66,rho,natural_delta,0.4,0.3902853500257018,0.027081604062564744,0.3372054060630749,0.4433652939883287,True,inverse
D3,Dataset 3,66,alpha,natural_delta,1.0,1.0878129628172526,0.05304753951136686,0.9838397853749735,1.1917861402595316,True,inverse
D3,Dataset 3,69,logit_rho,optimizer,-0.4054651081081643,-0.4107647039460774,0.11983825930982088,-0.6456476921933263,-0.17588171569882846,True,inverse
D3,Dataset 3,69,beta_z[0],optimizer,6.6,6.699751393262721,0.11145464782965571,6.481300283516596,6.918202503008846,True,inverse
D3,Dataset 3,69,beta_z[1],optimizer,-2.1,-2.170895169066488,0.06867553918094124,-2.305499225861133,-2.0362911122718432,True,inverse
D3,Dataset 3,69,gamma_z[0],optimizer,-2.5,-2.5822415204420266,0.3752031400602242,-3.3176396749600663,-1.8468433659239871,True,inverse
D3,Dataset 3,69,gamma_z[1],optimizer,2.0,2.0313065767608807,0.1532346738333466,1.7309666160475214,2.33164653747424,True,inverse
D3,Dataset 3,69,beta_nb[0],optimizer,8.0,8.353068583452531,0.3168193358673898,7.732102685152447,8.974034481752614,True,inverse
D3,Dataset 3,69,beta_nb[1],optimizer,2.5,2.1517664843519526,0.4422488266868088,1.2849587840458074,3.018574184658098,True,inverse
D3,Dataset 3,69,gamma_nb[0],optimizer,-2.5,-2.4739313060963712,0.20689015572091088,-2.8794360113093567,-2.068426600883386,True,inverse
D3,Dataset 3,69,gamma_nb[1],optimizer,2.5,2.5409129567495663,0.09273078261590866,2.3591606228223854,2.7226652906767472,True,inverse
D3,Dataset 3,69,log_alpha,optimizer,0.0,-0.004244673417145388,0.05135317542190875,-0.10489689724408655,0.09640755040979576,True,inverse
D3,Dataset 3,69,rho,natural_delta,0.4,0.39872877367274995,0.02873052026371831,0.3424169539558621,0.4550405933896378,True,inverse
D3,Dataset 3,69,alpha,natural_delta,1.0,0.9957643224763527,0.05113565993100626,0.8955384290115804,1.095990215941125,True,inverse
D3,Dataset 3,61,logit_rho,optimizer,-0.4054651081081643,-0.2911547741460671,0.13394873976691019,-0.553694304089211,-0.028615244202923162,True,inverse
D3,Dataset 3,61,beta_z[0],optimizer,6.6,6.84997835223252,0.10647918590827793,6.641279147852295,7.058677556612745,False,inverse
D3,Dataset 3,61,beta_z[1],optimizer,-2.1,-2.2129092341808287,0.06845997346371858,-2.347090782169717,-2.0787276861919404,True,inverse
D3,Dataset 3,61,gamma_z[0],optimizer,-2.5,-2.2694416236329014,0.34858466208452354,-2.9526675613185676,-1.5862156859472352,True,inverse
D3,Dataset 3,61,gamma_z[1],optimizer,2.0,1.9350895095785017,0.13784878078204535,1.6649058992456929,2.2052731199113107,True,inverse
D3,Dataset 3,61,beta_nb[0],optimizer,8.0,7.703262146115002,0.3140353267362837,7.087752905711886,8.318771386518119,True,inverse
D3,Dataset 3,61,beta_nb[1],optimizer,2.5,2.7031018572916152,0.44222911016987193,1.8363328013586662,3.5698709132245643,True,inverse
D3,Dataset 3,61,gamma_nb[0],optimizer,-2.5,-2.651875123378129,0.28557631324837796,-3.2116046973449497,-2.0921455494113084,True,inverse
D3,Dataset 3,61,gamma_nb[1],optimizer,2.5,2.5103580052700645,0.12365616915292733,2.267991913730327,2.752724096809802,True,inverse
D3,Dataset 3,61,log_alpha,optimizer,0.0,0.10275882441759908,0.050900606535413104,0.002993635608189396,0.20252401322700875,False,inverse
D3,Dataset 3,61,rho,natural_delta,0.4,0.42772118277169024,0.03278740626257307,0.36345786649704703,0.49198449904633346,True,inverse
D3,Dataset 3,61,alpha,natural_delta,1.0,1.1082241002503135,0.056409278879903414,0.9976619136457028,1.2187862868549242,True,inverse
D3,Dataset 3,73,logit_rho,optimizer,-0.4054651081081643,-0.5027885167156874,0.11478720523835613,-0.7277714389828653,-0.2778055944485094,True,inverse
D3,Dataset 3,73,beta_z[0],optimizer,6.6,6.50456915566379,0.11454403477210738,6.28006284751046,6.729075463817121,True,inverse
D3,Dataset 3,73,beta_z[1],optimizer,-2.1,-2.072256264295765,0.07804097836398916,-2.225216581889184,-1.9192959467023465,True,inverse
D3,Dataset 3,73,gamma_z[0],optimizer,-2.5,-3.0234678790287544,0.46520636750899885,-3.935272359346392,-2.1116633987111166,True,inverse
D3,Dataset 3,73,gamma_z[1],optimizer,2.0,2.2583710718698335,0.19852193345286387,1.8692680823022203,2.6474740614374466,True,inverse
D3,Dataset 3,73,beta_nb[0],optimizer,8.0,7.81895828325423,0.3013635485986097,7.228285728000955,8.409630838507505,True,inverse
D3,Dataset 3,73,beta_nb[1],optimizer,2.5,3.3420827090368643,0.44690468502156405,2.4661495263945987,4.21801589167913,True,inverse
D3,Dataset 3,73,gamma_nb[0],optimizer,-2.5,-2.2071336647344824,0.16824917381457605,-2.5369020454110514,-1.8773652840579134,True,inverse
D3,Dataset 3,73,gamma_nb[1],optimizer,2.5,2.392422376140875,0.07460640911731657,2.2461938142709346,2.5386509380108158,True,inverse
D3,Dataset 3,73,log_alpha,optimizer,0.0,-0.032303970617665344,0.05474029043795901,-0.139594939876065,0.07498699864073433,True,inverse
D3,Dataset 3,73,rho,natural_delta,0.4,0.37688558114217197,0.02695695325883566,0.32404995275485404,0.4297212095294899,True,inverse
D3,Dataset 3,73,alpha,natural_delta,1.0,0.9682122292747983,0.05300021863608622,0.8643318007480694,1.0720926578015273,True,inverse
D3,Dataset 3,71,logit_rho,optimizer,-0.4054651081081643,-0.2948672838583648,0.11676647309238698,-0.5237295711194433,-0.06600499659728631,True,inverse
