Scenario,Dataset,Rep,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,reject,method
D1,Dataset 1,20,ZIP,ZIP--ZINB,-70598.09958526841,-44493.00691556478,52210.18533940727,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,20,ZINB,ZIP--ZINB,-45744.05208076742,-44493.00691556478,2502.090330405277,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,20,Z+P+NB,ZIP--ZINB,-44580.23310059888,-44493.00691556478,174.4523700682039,2.0,0,1.312650662893648e-38,True,chi²(df=2)
D1,Dataset 1,21,Poisson,ZIP--ZINB,-95494.43755644464,-44531.51283064207,101925.84945160514,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,21,NB,ZIP--ZINB,-46503.204998182686,-44531.51283064207,3943.384335081239,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,21,P+NB,ZIP--ZINB,-45135.42720428336,-44531.51283064207,1207.8287472825905,,2,1.3827421469232051e-263,True,chi-bar² heuristic; k=2
D1,Dataset 1,21,ZIP,ZIP--ZINB,-68868.59395774934,-44531.51283064207,48674.16225421455,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,21,ZINB,ZIP--ZINB,-45746.26791925701,-44531.51283064207,2429.5101772298804,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,21,Z+P+NB,ZIP--ZINB,-44607.52353509667,-44531.51283064207,152.02140890920418,2.0,0,9.749233896410473e-34,True,chi²(df=2)
D1,Dataset 1,22,Poisson,ZIP--ZINB,-97338.9598319294,-44341.8784094528,105994.1628449532,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,22,NB,ZIP--ZINB,-46255.84327520096,-44341.8784094528,3827.929731496304,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,22,P+NB,ZIP--ZINB,-44932.55230624529,-44341.8784094528,1181.3477935849803,,2,7.78429278308597e-258,True,chi-bar² heuristic; k=2
D1,Dataset 1,22,ZIP,ZIP--ZINB,-70153.79753842557,-44341.8784094528,51623.838257945536,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,22,ZINB,ZIP--ZINB,-45530.98729840708,-44341.8784094528,2378.2177779085614,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,22,Z+P+NB,ZIP--ZINB,-44414.38992041825,-44341.8784094528,145.02302193090145,2.0,0,3.225900094442384e-32,True,chi²(df=2)
D1,Dataset 1,23,Poisson,ZIP--ZINB,-98608.5071180096,-44632.6650746995,107951.6840866202,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,23,NB,ZIP--ZINB,-46614.33868707436,-44632.6650746995,3963.347224749712,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,23,P+NB,ZIP--ZINB,-45283.26177159487,-44632.6650746995,1301.1933937907452,,2,7.348016837236211e-284,True,chi-bar² heuristic; k=2
D1,Dataset 1,23,ZIP,ZIP--ZINB,-71274.75759842106,-44632.6650746995,53284.18504744311,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,23,ZINB,ZIP--ZINB,-45878.45740176992,-44632.6650746995,2491.584654140839,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,23,Z+P+NB,ZIP--ZINB,-44725.99770425375,-44632.6650746995,186.66525910850032,2.0,0,2.925189481266067e-41,True,chi²(df=2)
D1,Dataset 1,26,Poisson,ZIP--ZINB,-99131.48155236112,-44456.58525958932,109349.7925855436,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,26,NB,ZIP--ZINB,-46526.55630704112,-44456.58525958932,4139.942094903585,,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,26,P+NB,ZIP--ZINB,-45121.29448829526,-44456.58525958932,1329.41845741187,,2,5.457320857694789e-290,True,chi-bar² heuristic; k=2
D1,Dataset 1,26,ZIP,ZIP--ZINB,-71006.30902674294,-44456.58525958932,53099.447534307226,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,26,ZINB,ZIP--ZINB,-45711.120837034265,-44456.58525958932,2509.0711548898835,,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,26,Z+P+NB,ZIP--ZINB,-44518.05540768658,-44456.58525958932,122.94029619451612,2.0,0,2.0130468368619164e-27,True,chi²(df=2)
D1,Dataset 1,28,Poisson,ZIP--ZINB,-96928.59951751462,-44262.27841394844,105332.64220713238,,2,0.0,True,chi-bar² heuristic; k=2
