Scenario,Dataset,Rep,Coefficient,CoefficientLatex,true,estimate
D1,Dataset 1,30,gamma_nb[0],$\gamma_{20}$,1.0,1.046157686172135
D1,Dataset 1,30,gamma_nb[1],$\gamma_{21}$,-3.0,-3.486123143224815
D1,Dataset 1,31,beta_z[0],$\beta_{10}$,2.0,2.056668174236087
D1,Dataset 1,31,beta_z[1],$\beta_{11}$,1.0,0.9078006278843436
D1,Dataset 1,31,gamma_z[0],$\gamma_{10}$,-2.0,-1.976544676812648
D1,Dataset 1,31,gamma_z[1],$\gamma_{11}$,1.0,0.9858906475308368
D1,Dataset 1,31,beta_nb[0],$\beta_{20}$,4.0,4.827267752524112
D1,Dataset 1,31,beta_nb[1],$\beta_{21}$,3.5,3.6446801856463984
D1,Dataset 1,31,gamma_nb[0],$\gamma_{20}$,1.0,1.4171675890673348
D1,Dataset 1,31,gamma_nb[1],$\gamma_{21}$,-3.0,-3.1318427542636
D1,Dataset 1,33,beta_z[0],$\beta_{10}$,2.0,2.005741404788031
D1,Dataset 1,33,beta_z[1],$\beta_{11}$,1.0,0.977870100587803
D1,Dataset 1,33,gamma_z[0],$\gamma_{10}$,-2.0,-1.805756003551648
D1,Dataset 1,33,gamma_z[1],$\gamma_{11}$,1.0,0.91600401903104
D1,Dataset 1,33,beta_nb[0],$\beta_{20}$,4.0,4.444769090074066
D1,Dataset 1,33,beta_nb[1],$\beta_{21}$,3.5,3.866721676260006
D1,Dataset 1,33,gamma_nb[0],$\gamma_{20}$,1.0,1.154417072582778
D1,Dataset 1,33,gamma_nb[1],$\gamma_{21}$,-3.0,-3.189038123847681
D1,Dataset 1,34,beta_z[0],$\beta_{10}$,2.0,2.069542196108358
D1,Dataset 1,34,beta_z[1],$\beta_{11}$,1.0,0.9793782336738416
D1,Dataset 1,34,gamma_z[0],$\gamma_{10}$,-2.0,-1.9611981069282831
D1,Dataset 1,34,gamma_z[1],$\gamma_{11}$,1.0,0.9866655273683248
D1,Dataset 1,34,beta_nb[0],$\beta_{20}$,4.0,3.509479598777419
D1,Dataset 1,34,beta_nb[1],$\beta_{21}$,3.5,3.496534474160506
D1,Dataset 1,34,gamma_nb[0],$\gamma_{20}$,1.0,0.9754475563089786
D1,Dataset 1,34,gamma_nb[1],$\gamma_{21}$,-3.0,-3.031237830874685
D1,Dataset 1,35,beta_z[0],$\beta_{10}$,2.0,1.9200123050136373
D1,Dataset 1,35,beta_z[1],$\beta_{11}$,1.0,1.0830840774526465
D1,Dataset 1,35,gamma_z[0],$\gamma_{10}$,-2.0,-1.854056089383712
D1,Dataset 1,35,gamma_z[1],$\gamma_{11}$,1.0,0.9451460443647328
D1,Dataset 1,35,beta_nb[0],$\beta_{20}$,4.0,3.253964035711244
D1,Dataset 1,35,beta_nb[1],$\beta_{21}$,3.5,3.806077904538636
D1,Dataset 1,35,gamma_nb[0],$\gamma_{20}$,1.0,0.7340498165157855
D1,Dataset 1,35,gamma_nb[1],$\gamma_{21}$,-3.0,-3.6304914576947054
D1,Dataset 1,32,beta_z[0],$\beta_{10}$,2.0,2.0599904469892767
D1,Dataset 1,32,beta_z[1],$\beta_{11}$,1.0,0.9661485459822956
D1,Dataset 1,32,gamma_z[0],$\gamma_{10}$,-2.0,-1.9135895664109164
D1,Dataset 1,32,gamma_z[1],$\gamma_{11}$,1.0,0.9882757336110732
D1,Dataset 1,32,beta_nb[0],$\beta_{20}$,4.0,3.797737552426453
D1,Dataset 1,32,beta_nb[1],$\beta_{21}$,3.5,3.8092014738685513
D1,Dataset 1,32,gamma_nb[0],$\gamma_{20}$,1.0,0.884572637303978
D1,Dataset 1,32,gamma_nb[1],$\gamma_{21}$,-3.0,-2.8225003457256905
D1,Dataset 1,36,beta_z[0],$\beta_{10}$,2.0,2.0409083599617546
D1,Dataset 1,36,beta_z[1],$\beta_{11}$,1.0,0.9662598777289076
D1,Dataset 1,36,gamma_z[0],$\gamma_{10}$,-2.0,-1.8063642376760871
D1,Dataset 1,36,gamma_z[1],$\gamma_{11}$,1.0,0.9282561941630304
D1,Dataset 1,36,beta_nb[0],$\beta_{20}$,4.0,3.73844349166388
D1,Dataset 1,36,beta_nb[1],$\beta_{21}$,3.5,3.7657745746036015
D1,Dataset 1,36,gamma_nb[0],$\gamma_{20}$,1.0,0.4527679702797197
D1,Dataset 1,36,gamma_nb[1],$\gamma_{21}$,-3.0,-2.7945507398428377
D1,Dataset 1,37,beta_z[0],$\beta_{10}$,2.0,1.9933628426257
D1,Dataset 1,37,beta_z[1],$\beta_{11}$,1.0,1.048672883127231
D1,Dataset 1,37,gamma_z[0],$\gamma_{10}$,-2.0,-2.14991513474382
D1,Dataset 1,37,gamma_z[1],$\gamma_{11}$,1.0,1.074835053992878
D1,Dataset 1,37,beta_nb[0],$\beta_{20}$,4.0,4.064071007923187
D1,Dataset 1,37,beta_nb[1],$\beta_{21}$,3.5,3.1388310157145662
D1,Dataset 1,37,gamma_nb[0],$\gamma_{20}$,1.0,0.8760854086767207
D1,Dataset 1,37,gamma_nb[1],$\gamma_{21}$,-3.0,-2.8660972661650463
D1,Dataset 1,38,beta_z[0],$\beta_{10}$,2.0,2.064567350415628
D1,Dataset 1,38,beta_z[1],$\beta_{11}$,1.0,0.9941005334204728
D1,Dataset 1,38,gamma_z[0],$\gamma_{10}$,-2.0,-2.0020490421863903
D1,Dataset 1,38,gamma_z[1],$\gamma_{11}$,1.0,1.011030858266711
D1,Dataset 1,38,beta_nb[0],$\beta_{20}$,4.0,3.449110366092857
D1,Dataset 1,38,beta_nb[1],$\beta_{21}$,3.5,3.3704150934430324
D1,Dataset 1,38,gamma_nb[0],$\gamma_{20}$,1.0,0.9382036776709434
D1,Dataset 1,38,gamma_nb[1],$\gamma_{21}$,-3.0,-3.247874554393208
D1,Dataset 1,39,beta_z[0],$\beta_{10}$,2.0,2.018922994723246
D1,Dataset 1,39,beta_z[1],$\beta_{11}$,1.0,0.9787386445666224
D1,Dataset 1,39,gamma_z[0],$\gamma_{10}$,-2.0,-2.180637122462596
D1,Dataset 1,39,gamma_z[1],$\gamma_{11}$,1.0,1.0816879153314418
D1,Dataset 1,39,beta_nb[0],$\beta_{20}$,4.0,4.979297944935611
