Scenario,Dataset,Rep,RestrictedModel,FullModel,RestrictedLogLik,FullLogLik,LRT,df,boundary_dim,p_value,reject,method
D1,Dataset 1,27,ZINB,ZIP--ZINB,-45815.13918027831,-44581.86989812872,2466.538564299175,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,27,Z+P+NB,ZIP--ZINB,-44643.73975511562,-44581.86989812872,123.73971397378773,2,0,1.349778525687273e-27,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,28,Poisson,ZIP--ZINB,-96928.59951751462,-44262.278413948494,105332.64220713226,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,28,NB,ZIP--ZINB,-46176.591948711415,-44262.278413948494,3828.6270695258427,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,28,P+NB,ZIP--ZINB,-44888.71202788953,-44262.278413948494,1252.867227882074,nan,2,2.2930539052090623e-273,True,chi-bar² heuristic; k=2
D1,Dataset 1,28,ZIP,ZIP--ZINB,-69530.28764309948,-44262.278413948494,50536.01845830197,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,28,ZINB,ZIP--ZINB,-45428.94109231616,-44262.278413948494,2333.3253567353386,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,28,Z+P+NB,ZIP--ZINB,-44332.22823608932,-44262.278413948494,139.89964428165695,2,0,4.180018791024399e-31,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,25,Poisson,ZIP--ZINB,-99210.43183854193,-44603.059903963425,109214.74386915701,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,25,NB,ZIP--ZINB,-46684.8710855236,-44603.059903963425,4163.622363120347,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,25,P+NB,ZIP--ZINB,-45286.92389209443,-44603.059903963425,1367.7279762620165,nan,2,2.617681530569259e-298,True,chi-bar² heuristic; k=2
D1,Dataset 1,25,ZIP,ZIP--ZINB,-71502.64528649274,-44603.059903963425,53799.17076505863,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,25,ZINB,ZIP--ZINB,-45892.33554558303,-44603.059903963425,2578.5512832392124,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,25,Z+P+NB,ZIP--ZINB,-44694.5619110455,-44603.059903963425,183.00401416415116,2,0,1.8246654181131473e-40,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,23,Poisson,ZIP--ZINB,-98608.5071180096,-44632.66507469949,107951.68408662021,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,23,NB,ZIP--ZINB,-46614.33868707435,-44632.66507469949,3963.347224749712,nan,2,0.0,True,chi-bar² heuristic; k=2
D1,Dataset 1,23,P+NB,ZIP--ZINB,-45283.26177159512,-44632.66507469949,1301.1933937912545,nan,2,7.348016835365336e-284,True,chi-bar² heuristic; k=2
D1,Dataset 1,23,ZIP,ZIP--ZINB,-71274.75759842104,-44632.66507469949,53284.1850474431,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,23,ZINB,ZIP--ZINB,-45878.457401769934,-44632.66507469949,2491.584654140883,nan,1,0.0,True,chi-bar² heuristic; k=1
D1,Dataset 1,23,Z+P+NB,ZIP--ZINB,-44725.99770425375,-44632.66507469949,186.66525910851487,2,0,2.9251894812447633e-41,True,chi²(df=2; shared inflation gamma_z=gamma_nb)
D1,Dataset 1,29,Poisson,ZIP--ZINB,-98468.76395130652,-44606.35970993705,107724.80848273894,nan,2,0.0,True,chi-bar² heuristic; k=2
