Dataset,Link,Fold,Model,fit_elapsed_sec,success,nit,llf,aic,bic,grad_norm_inf,cov_status
C3,log,3,Z+P+NB,2.184272050857544,True,75,-2456.1732475457115,4932.346495091423,4994.0086577773445,0.016900746994110705,not_computed
C3,log,3,ZIP--ZINB,4.181305885314941,True,105,-2455.963956064746,4935.927912129492,5009.922507352598,0.0018709274139752097,not_computed
C3,log,1,Poisson,0.08969235420227051,True,13,-2774.9839922483097,5555.9679844966195,5574.466633302396,0.0016063265854313613,not_computed
C3,log,1,NB,0.1953260898590088,True,11,-2525.7367249102854,5059.473449820571,5084.138314894939,0.00011337535213229444,not_computed
C3,log,1,ZIP,0.21227693557739258,True,13,-2466.119131255254,4942.238262510508,4973.069343853469,0.0016526614445808718,not_computed
C3,log,1,ZINB,0.7810943126678467,True,49,-2466.1187602013,4944.2375204026,4981.2348180141535,0.007388890338035026,not_computed
C3,log,1,P+NB,1.2578270435333252,True,46,-2463.5756501927344,4943.151300385469,4992.481030534206,0.0009939685093343087,not_computed
C3,log,1,Z+P+NB,2.9666829109191895,True,64,-2462.7819492212143,4945.563898442429,5007.22606112835,0.09113574477950692,not_computed
C3,log,1,ZIP--ZINB,4.0262086391448975,True,114,-2462.586346410445,4949.17269282089,5023.1672880439955,0.31994430481231007,not_computed
C3,log,2,Poisson,0.05223512649536133,True,9,-2775.997349508564,5557.994699017128,5576.493347822905,0.004918161347177374,not_computed
C3,log,2,NB,0.20760560035705566,True,27,-2524.318244361637,5056.636488723274,5081.301353797642,5.1647903015705765e-05,not_computed
C3,log,2,ZIP,0.260831356048584,True,12,-2466.5250816583057,4943.050163316611,4973.881244659572,0.004323332148103987,not_computed
C3,log,2,ZINB,0.7722697257995605,True,22,-2466.0512054058963,4944.102410811793,4981.099708423346,0.0021341727982218117,not_computed
C3,log,2,P+NB,1.430048942565918,True,47,-2464.5898616563572,4945.1797233127145,4994.509453461452,0.0006158496062340646,not_computed
C3,log,2,Z+P+NB,2.4435415267944336,True,62,-2464.174601980213,4948.349203960426,5010.011366646348,0.13291392758549136,not_computed
C3,log,2,ZIP--ZINB,4.707005739212036,True,138,-2463.7943174544334,4951.588634908867,5025.583230131972,0.027730021968372043,not_computed
C3,log,0,Poisson,0.08768367767333984,True,13,-2783.0394760869085,5572.078952173817,5590.577600979594,0.0013085746758747518,not_computed
C3,log,0,NB,0.1943225860595703,True,12,-2536.7494051921576,5081.498810384315,5106.163675458683,0.00013417984933994376,not_computed
C3,log,0,ZIP,0.22640466690063477,True,13,-2479.4193035566414,4968.838607113283,4999.669688456243,0.0011936244118118111,not_computed
