Dataset,Model,Link,Row,Col,Value,CovarianceStatus
C2,Z+P+NB,identity,1,7,-0.023258690102384225,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,1,8,0.006685223524352177,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,1,9,7.726905711460341e-10,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,2,0,-0.06967860738610475,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,2,1,-0.015870912997984057,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,2,2,0.02270175797880151,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,2,3,-0.004220846978005297,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,2,4,-0.010300952688367329,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,2,5,0.03345597098925031,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,2,6,-0.006675364668854977,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,2,7,0.04654916192874714,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,2,8,-0.01362982472754804,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,2,9,-1.7971986210687397e-09,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,3,0,0.011865980633089851,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,3,1,0.0029175440754350868,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,3,2,-0.004220846978005297,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,3,3,0.0008357905554635973,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,3,4,0.0017480257124834302,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,3,5,-0.005605387733137437,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,3,6,0.0011449448101911416,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,3,7,-0.007900806320666651,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,3,8,0.0023825004907547273,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,3,9,3.055225327788553e-10,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,4,0,0.12493133050378885,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,4,1,-0.0012430451339506346,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,4,2,-0.010300952688367329,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,4,3,0.0017480257124834302,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,4,4,0.08478927211050186,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,4,5,-0.10832674587339056,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,4,6,0.01893251534839381,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,4,7,-0.06428793058893922,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,4,8,0.01918460631402632,indefinite_pinv_rank_8_of_10
C2,Z+P+NB,identity,4,9,4.269804018978695e-09,indefinite_pinv_rank_8_of_10
