Dataset,Model,Link,Index,Value,SE,CovarianceStatus
H2AX1H60,Z+P+NB,log,6,-0.5854331662739183,0.12519888845854893,singular_pinv_rank_7_of_8
H2AX1H60,Z+P+NB,log,7,-19.999368977854875,2.051840077177155e-07,singular_pinv_rank_7_of_8
H2AX1H60,ZIP--ZINB,identity,0,-0.023183841752913922,0.09280529347967018,indefinite_pinv_rank_9_of_10
H2AX1H60,ZIP--ZINB,identity,1,-0.2898774253096481,57.92718747260615,indefinite_pinv_rank_9_of_10
H2AX1H60,ZIP--ZINB,identity,2,2.205088719371777,19.310866154366735,indefinite_pinv_rank_9_of_10
H2AX1H60,ZIP--ZINB,identity,3,25.0,46.028003884353154,indefinite_pinv_rank_9_of_10
H2AX1H60,ZIP--ZINB,identity,4,-11.439452125933734,21.999661554830894,indefinite_pinv_rank_9_of_10
H2AX1H60,ZIP--ZINB,identity,5,5.3426795474061315,0.2963104324032343,indefinite_pinv_rank_9_of_10
H2AX1H60,ZIP--ZINB,identity,6,-1.2583336806605512,0.19695581198056125,indefinite_pinv_rank_9_of_10
H2AX1H60,ZIP--ZINB,identity,7,-23.674076587685928,0.03223949340230536,indefinite_pinv_rank_9_of_10
H2AX1H60,ZIP--ZINB,identity,8,7.750214205485363,0.09574507384546352,indefinite_pinv_rank_9_of_10
H2AX1H60,ZIP--ZINB,identity,9,-15.472450169588585,376.2632203124356,indefinite_pinv_rank_9_of_10
H2AX1H60,ZIP--ZINB,log,0,-0.05016019447000599,0.09106690775300796,indefinite_pinv_rank_7_of_10
H2AX1H60,ZIP--ZINB,log,1,-2.9152924944920446,17.863653618028856,indefinite_pinv_rank_7_of_10
H2AX1H60,ZIP--ZINB,log,2,1.590583636643353,5.954453092535575,indefinite_pinv_rank_7_of_10
H2AX1H60,ZIP--ZINB,log,3,25.0,33.95543963048761,indefinite_pinv_rank_7_of_10
H2AX1H60,ZIP--ZINB,log,4,-11.24967456276352,17.32812586061727,indefinite_pinv_rank_7_of_10
H2AX1H60,ZIP--ZINB,log,5,1.7890134801728619,0.08762926962734939,indefinite_pinv_rank_7_of_10
H2AX1H60,ZIP--ZINB,log,6,-0.3902519731273299,0.07339551357451135,indefinite_pinv_rank_7_of_10
H2AX1H60,ZIP--ZINB,log,7,-20.820769520070826,0.02797483404050835,indefinite_pinv_rank_7_of_10
H2AX1H60,ZIP--ZINB,log,8,6.81965348983994,0.08325833087475842,indefinite_pinv_rank_7_of_10
H2AX1H60,ZIP--ZINB,log,9,-19.92320344764791,9.400245051362101e-05,indefinite_pinv_rank_7_of_10
H2AX4H100,Poisson,identity,0,2.009965478317641,0.15630115961085678,inverse
H2AX4H100,Poisson,identity,1,1.043037819116787,0.08842927996186292,inverse
H2AX4H100,Poisson,log,0,0.8475284320741096,0.04847205562319142,inverse
