Scenario,Dataset,Rep,Model,Index,Value
D1,Dataset 1,21,ZIP--ZINB,5,3.7329106350487833
D1,Dataset 1,21,ZIP--ZINB,6,3.62750525537231
D1,Dataset 1,21,ZIP--ZINB,7,0.9686264677523572
D1,Dataset 1,21,ZIP--ZINB,8,-2.5919775989104665
D1,Dataset 1,21,ZIP--ZINB,9,0.3342544171480021
D1,Dataset 1,22,ZIP--ZINB,0,0.8138952036446424
D1,Dataset 1,22,ZIP--ZINB,1,1.8727195521899864
D1,Dataset 1,22,ZIP--ZINB,2,1.0954576158906992
D1,Dataset 1,22,ZIP--ZINB,3,-1.8895571318355016
D1,Dataset 1,22,ZIP--ZINB,4,0.949197862221069
D1,Dataset 1,22,ZIP--ZINB,5,3.428150874704848
D1,Dataset 1,22,ZIP--ZINB,6,3.4753569443665664
D1,Dataset 1,22,ZIP--ZINB,7,1.1615539082014266
D1,Dataset 1,22,ZIP--ZINB,8,-4.179437044519688
D1,Dataset 1,22,ZIP--ZINB,9,0.4863251431776725
D1,Dataset 1,23,ZIP--ZINB,0,0.8001299038105074
D1,Dataset 1,23,ZIP--ZINB,1,2.04434234422347
D1,Dataset 1,23,ZIP--ZINB,2,0.9500908722305073
D1,Dataset 1,23,ZIP--ZINB,3,-2.159188573949077
D1,Dataset 1,23,ZIP--ZINB,4,1.0781637282578354
D1,Dataset 1,23,ZIP--ZINB,5,4.334320995447636
D1,Dataset 1,23,ZIP--ZINB,6,3.20700814413458
D1,Dataset 1,23,ZIP--ZINB,7,1.21388338378909
D1,Dataset 1,23,ZIP--ZINB,8,-3.127527769547387
D1,Dataset 1,23,ZIP--ZINB,9,0.4349968587852902
D1,Dataset 1,26,ZIP--ZINB,0,0.9029863790007278
D1,Dataset 1,26,ZIP--ZINB,1,1.9892317208247616
D1,Dataset 1,26,ZIP--ZINB,2,1.0350898007697118
D1,Dataset 1,26,ZIP--ZINB,3,-1.9415362790274493
D1,Dataset 1,26,ZIP--ZINB,4,0.9829134578324928
D1,Dataset 1,26,ZIP--ZINB,5,3.809277302551236
D1,Dataset 1,26,ZIP--ZINB,6,3.754912570324396
D1,Dataset 1,26,ZIP--ZINB,7,1.1225392010310598
D1,Dataset 1,26,ZIP--ZINB,8,-3.351032868070911
D1,Dataset 1,26,ZIP--ZINB,9,0.3832859962024659
D1,Dataset 1,28,ZIP--ZINB,0,0.8219716382472012
D1,Dataset 1,28,ZIP--ZINB,1,1.9644943044683565
D1,Dataset 1,28,ZIP--ZINB,2,1.0209981795391752
D1,Dataset 1,28,ZIP--ZINB,3,-2.0354180344810944
D1,Dataset 1,28,ZIP--ZINB,4,1.0365634720263726
D1,Dataset 1,28,ZIP--ZINB,5,4.154696790483491
D1,Dataset 1,28,ZIP--ZINB,6,3.1478897503074865
D1,Dataset 1,28,ZIP--ZINB,7,0.883417265773498
D1,Dataset 1,28,ZIP--ZINB,8,-2.7898653934459388
D1,Dataset 1,28,ZIP--ZINB,9,0.4380676920712944
D1,Dataset 1,27,ZIP--ZINB,0,0.8179898554164676
D1,Dataset 1,27,ZIP--ZINB,1,1.959871793939083
D1,Dataset 1,27,ZIP--ZINB,2,1.0162146086169888
D1,Dataset 1,27,ZIP--ZINB,3,-2.074766137016197
D1,Dataset 1,27,ZIP--ZINB,4,1.016812928915767
D1,Dataset 1,27,ZIP--ZINB,5,4.162392719885005
D1,Dataset 1,27,ZIP--ZINB,6,3.4516851464908167
D1,Dataset 1,27,ZIP--ZINB,7,0.7437764238838143
D1,Dataset 1,27,ZIP--ZINB,8,-2.1479116287897857
D1,Dataset 1,27,ZIP--ZINB,9,0.4093387906384836
D1,Dataset 1,25,ZIP--ZINB,0,0.7679503800179946
D1,Dataset 1,25,ZIP--ZINB,1,1.9811899358466905
D1,Dataset 1,25,ZIP--ZINB,2,1.0333040528055415
D1,Dataset 1,25,ZIP--ZINB,3,-2.351524773410985
