SourceFolder,Dataset,Link,Fold,Model,fit_elapsed_sec,success,nit,llf,aic,bic,grad_norm_inf,cov_status
C3_log_ZIP,C3,log,,ZINB,0.3092505931854248,True,22,-3080.9386209822856,6173.877241964571,6212.213400884009,0.0001100444358055,not_computed
C3_log_ZIP,C3,log,,P+NB,0.8138546943664551,True,51,-3077.951773504374,6171.903547008748,6223.018425567999,9.055053015316616e-05,not_computed
C3_log_ZIP,C3,log,,Z+P+NB,1.7065508365631104,True,51,-3077.4611512334286,6174.922302466857,6238.815900665921,0.0092831269260926,not_computed
C3_log_ZIP,C3,log,,ZIP--ZINB,3.67618465423584,True,223,-3077.2031080918023,6178.406216183605,6255.078534022481,0.0170697738854244,not_computed
C3_log_Z_plus_P_plus_NB,C3,log,,Poisson,0.0289509296417236,True,10,-3468.148246215904,6942.296492431808,6961.464571891526,0.0001975996462135,not_computed
C3_log_Z_plus_P_plus_NB,C3,log,,NB,0.1096484661102294,True,18,-3153.5422421105554,6315.084484221111,6340.641923500736,0.0021416996047491,not_computed
C3_log_Z_plus_P_plus_NB,C3,log,,ZIP,0.1260590553283691,True,23,-3081.331619577812,6172.663239155623,6204.610038255155,0.0004492188997176,not_computed
C3_log_Z_plus_P_plus_NB,C3,log,,ZINB,0.3077898025512695,True,22,-3080.9386209822856,6173.877241964571,6212.213400884009,0.0001100444358055,not_computed
C3_log_Z_plus_P_plus_NB,C3,log,,P+NB,0.8052241802215576,True,51,-3077.951773504374,6171.903547008748,6223.018425567999,9.055053015316616e-05,not_computed
C3_log_Z_plus_P_plus_NB,C3,log,,Z+P+NB,1.6894209384918213,True,51,-3077.4611512334286,6174.922302466857,6238.815900665921,0.0092831269260926,not_computed
C3_log_Z_plus_P_plus_NB,C3,log,,ZIP--ZINB,3.654856443405152,True,223,-3077.2031080918023,6178.406216183605,6255.078534022481,0.0170697738854244,not_computed
H2AX1H60_identity_NB,H2AX1H60,identity,,Poisson,0.0515282154083251,True,5,-1590.3284183337996,3184.6568366675992,3193.44735986383,2.837368112729166e-05,not_computed
H2AX1H60_identity_NB,H2AX1H60,identity,,NB,0.0554606914520263,True,10,-1267.4561720564352,2540.9123441128704,2554.098128907217,5.080553497349705e-07,not_computed
H2AX1H60_identity_NB,H2AX1H60,identity,,ZIP,0.0612416267395019,True,10,-1188.3167116189118,2384.6334232378235,2402.2144696302853,0.0002011025537118,not_computed
